date,hour,6908,TotalVol,6908-mis%
03/01/2022,0,135,135,0
03/01/2022,1,96,96,0
03/01/2022,2,78,78,0
03/01/2022,3,87,87,0
03/01/2022,4,144,144,0
03/01/2022,5,296,296,0
03/01/2022,6,544,544,0
03/01/2022,7,826,826,0
03/01/2022,8,859,859,0
03/01/2022,9,845,845,0
03/01/2022,10,844,844,0
03/01/2022,11,893,893,0
03/01/2022,12,973,973,0
03/01/2022,13,995,995,0
03/01/2022,14,1086,1086,0
03/01/2022,15,1432,1432,0
03/01/2022,16,1577,1577,0
03/01/2022,17,1364,1364,0
03/01/2022,18,1022,1022,0
03/01/2022,19,688,688,0
03/01/2022,20,591,591,0
03/01/2022,21,461,461,0
03/01/2022,22,374,374,0
03/01/2022,23,207,207,0.8
03/02/2022,0,145,145,0
03/02/2022,1,84,84,0
03/02/2022,2,84,84,0
03/02/2022,3,65,65,0
03/02/2022,4,141,141,0
03/02/2022,5,300,300,0
03/02/2022,6,524,524,0
03/02/2022,7,821,821,0
03/02/2022,8,848,848,0
03/02/2022,9,762,762,0
03/02/2022,10,820,820,0.8
03/02/2022,11,889,889,0
03/02/2022,12,934,934,0
03/02/2022,13,990,990,0
03/02/2022,14,1108,1108,0
03/02/2022,15,1439,1439,0
03/02/2022,16,1460,1460,0
03/02/2022,17,1389,1389,0
03/02/2022,18,938,938,0
03/02/2022,19,689,689,0
03/02/2022,20,636,636,0
03/02/2022,21,470,470,0
03/02/2022,22,358,358,0
03/02/2022,23,228,228,0.8
03/03/2022,0,159,159,0
03/03/2022,1,93,93,0
03/03/2022,2,93,93,0
03/03/2022,3,71,71,0
03/03/2022,4,147,147,0
03/03/2022,5,324,324,0
03/03/2022,6,526,526,0
03/03/2022,7,845,845,0
03/03/2022,8,843,843,0
03/03/2022,9,842,842,0
03/03/2022,10,874,874,0
03/03/2022,11,885,885,0
03/03/2022,12,977,977,0
03/03/2022,13,1025,1025,0
03/03/2022,14,1122,1122,0
03/03/2022,15,1404,1404,0
03/03/2022,16,1429,1429,0
03/03/2022,17,1241,1241,0
03/03/2022,18,978,978,0
03/03/2022,19,675,675,0
03/03/2022,20,609,609,0
03/03/2022,21,457,457,0
03/03/2022,22,358,358,0
03/03/2022,23,238,238,1.7
03/04/2022,0,162,162,0
03/04/2022,1,120,120,0
03/04/2022,2,95,95,0
03/04/2022,3,64,64,0
03/04/2022,4,158,158,0
03/04/2022,5,306,306,0
03/04/2022,6,515,515,0
03/04/2022,7,710,710,0
03/04/2022,8,799,799,0
03/04/2022,9,817,817,0
03/04/2022,10,901,901,0
03/04/2022,11,942,942,0
03/04/2022,12,1047,1047,0
03/04/2022,13,1049,1049,0
03/04/2022,14,1100,1100,0
03/04/2022,15,1447,1447,0
03/04/2022,16,1460,1460,0
03/04/2022,17,1307,1307,0
03/04/2022,18,975,975,0
03/04/2022,19,736,736,0
03/04/2022,20,608,608,0
03/04/2022,21,521,521,0
03/04/2022,22,456,456,0
03/04/2022,23,299,299,0.8
03/05/2022,0,198,198,0
03/05/2022,1,139,139,0
03/05/2022,2,115,115,0
03/05/2022,3,97,97,0
03/05/2022,4,90,90,0
03/05/2022,5,147,147,0
03/05/2022,6,256,256,0
03/05/2022,7,375,375,0
03/05/2022,8,504,504,0
03/05/2022,9,586,586,0
03/05/2022,10,797,797,0
03/05/2022,11,916,916,0
03/05/2022,12,974,974,0
03/05/2022,13,960,960,0
03/05/2022,14,995,995,0
03/05/2022,15,944,944,0
03/05/2022,16,899,899,0
03/05/2022,17,736,736,0
03/05/2022,18,687,687,0
03/05/2022,19,582,582,0
03/05/2022,20,509,509,0
03/05/2022,21,466,466,0
03/05/2022,22,364,364,0
03/05/2022,23,174,174,1.7
03/06/2022,0,143,143,0
03/06/2022,1,29,29,0
03/06/2022,2,16,16,0
03/06/2022,3,61,61,0
03/06/2022,4,88,88,0
03/06/2022,5,124,124,0
03/06/2022,6,199,199,0
03/06/2022,7,271,271,0
03/06/2022,8,340,340,0
03/06/2022,9,444,444,0
03/06/2022,10,563,563,1.7
03/06/2022,11,757,757,0
03/06/2022,12,857,857,0
03/06/2022,13,847,847,0
03/06/2022,14,828,828,0
03/06/2022,15,837,837,0
03/06/2022,16,777,777,0
03/06/2022,17,730,730,0
03/06/2022,18,670,670,0
03/06/2022,19,528,528,0
03/06/2022,20,400,400,0
03/06/2022,21,333,333,0
03/06/2022,22,273,273,0
03/06/2022,23,199,199,0.8
03/07/2022,0,114,114,0
03/07/2022,1,83,83,0
03/07/2022,2,76,76,0
03/07/2022,3,71,71,0
03/07/2022,4,144,144,0
03/07/2022,5,323,323,0
03/07/2022,6,503,503,0
03/07/2022,7,800,800,0
03/07/2022,8,827,827,0
03/07/2022,9,801,801,0
03/07/2022,10,827,827,0
03/07/2022,11,882,882,0
03/07/2022,12,884,884,0
03/07/2022,13,929,929,0
03/07/2022,14,1121,1121,0
03/07/2022,15,1336,1336,0
03/07/2022,16,1533,1533,0
03/07/2022,17,1341,1341,0
03/07/2022,18,905,905,0
03/07/2022,19,649,649,0
03/07/2022,20,461,461,0
03/07/2022,21,468,468,0
03/07/2022,22,337,337,0
03/07/2022,23,213,213,0.8
03/08/2022,0,144,144,0
03/08/2022,1,87,87,0
03/08/2022,2,91,91,0
03/08/2022,3,69,69,0
03/08/2022,4,161,161,0
03/08/2022,5,317,317,0
03/08/2022,6,569,569,0
03/08/2022,7,823,823,0
03/08/2022,8,867,867,0
03/08/2022,9,836,836,0
03/08/2022,10,839,839,0
03/08/2022,11,892,892,0
03/08/2022,12,965,965,0
03/08/2022,13,965,965,0
03/08/2022,14,1083,1083,0
03/08/2022,15,1382,1382,0
03/08/2022,16,1522,1522,0
03/08/2022,17,1290,1290,0
03/08/2022,18,888,888,0
03/08/2022,19,668,668,0
03/08/2022,20,574,574,0
03/08/2022,21,498,498,0
03/08/2022,22,387,387,0.8
03/08/2022,23,276,276,0.8
03/09/2022,0,144,144,0
03/09/2022,1,89,89,0
03/09/2022,2,92,92,0
03/09/2022,3,85,85,0
03/09/2022,4,151,151,4.2
03/09/2022,5,328,328,0
03/09/2022,6,552,552,0
03/09/2022,7,853,853,0
03/09/2022,8,920,920,0
03/09/2022,9,818,818,0
03/09/2022,10,841,841,0
03/09/2022,11,909,909,0
03/09/2022,12,947,947,0
03/09/2022,13,936,936,0.8
03/09/2022,14,1115,1115,0
03/09/2022,15,1444,1444,0
03/09/2022,16,1539,1539,0
03/09/2022,17,1239,1239,0
03/09/2022,18,974,974,0
03/09/2022,19,703,703,0
03/09/2022,20,608,608,0
03/09/2022,21,463,463,0
03/09/2022,22,358,358,0
03/09/2022,23,242,242,0.8
03/10/2022,0,151,151,0
03/10/2022,1,113,113,0
03/10/2022,2,93,93,0
03/10/2022,3,83,83,0
03/10/2022,4,137,137,0
03/10/2022,5,314,314,0
03/10/2022,6,511,511,0
03/10/2022,7,825,825,0
03/10/2022,8,854,854,0
03/10/2022,9,835,835,0
03/10/2022,10,813,813,0
03/10/2022,11,886,886,0
03/10/2022,12,971,971,0
03/10/2022,13,986,986,0
03/10/2022,14,1130,1130,0
03/10/2022,15,1410,1410,0
03/10/2022,16,1534,1534,0
03/10/2022,17,1331,1331,0
03/10/2022,18,969,969,0
03/10/2022,19,702,702,0
03/10/2022,20,597,597,0
03/10/2022,21,485,485,0
03/10/2022,22,386,386,0
03/10/2022,23,268,268,0.8
03/11/2022,0,175,175,0
03/11/2022,1,106,106,0
03/11/2022,2,104,104,0
03/11/2022,3,88,88,0
03/11/2022,4,178,178,0
03/11/2022,5,294,294,0
03/11/2022,6,523,523,0
03/11/2022,7,815,815,0
03/11/2022,8,822,822,0
03/11/2022,9,801,801,0
